Code,Industry,Pre Code,Cur Code
NAICS 111110,Soybean Farming,11111,0
NAICS 111120,Oilseed (except Soybean) Farming,11112,0
NAICS 111130,Dry Pea and Bean Farming,11113,0
NAICS 111140,Wheat Farming,11114,0
NAICS 111150,Corn Farming,11115,0
NAICS 111160,Rice Farming,11116,0
NAICS 111191,Oilseed and Grain Combination Farming,11119,1
NAICS 111199,All Other Grain Farming,11119,9
NAICS 111211,Potato Farming,11121,1
NAICS 111219,Other Vegetable (except Potato) and Melon Farming,11121,9
NAICS 111310,Orange Groves,11131,0
NAICS 111320,Citrus (except Orange) Groves,11132,0
NAICS 111331,Apple Orchards,11133,1
NAICS 111332,Grape Vineyards,11133,2
NAICS 111333,Strawberry Farming,11133,3
NAICS 111334,Berry (except Strawberry) Farming,11133,4
NAICS 111335,Tree Nut Farming,11133,5
NAICS 111336,Fruit and Tree Nut Combination Farming,11133,6
NAICS 111339,Other Noncitrus Fruit Farming,11133,9
NAICS 111411,Mushroom Production,11141,1
NAICS 111419,Other Food Crops Grown Under Cover,11141,9
NAICS 111421,Nursery and Tree Production,11142,1
NAICS 111422,Floriculture Production,11142,2
NAICS 111910,Tobacco Farming,11191,0
NAICS 111920,Cotton Farming,11192,0
NAICS 111930,Sugarcane Farming,11193,0
NAICS 111940,Hay Farming,11194,0
NAICS 111991,Sugar Beet Farming,11199,1
NAICS 111992,Peanut Farming,11199,2
NAICS 111998,All Other Miscellaneous Crop Farming,11199,8
NAICS 112111,Beef Cattle Ranching and Farming,11211,1
NAICS 112112,Cattle Feedlots,11211,2
NAICS 112120,Dairy Cattle and Milk Production,11212,0
NAICS 112130,Dual-Purpose Cattle Ranching and Farming,11213,0
NAICS 112210,Hog and Pig Farming,11221,0
NAICS 112310,Chicken Egg Production,11231,0
NAICS 112320,Broilers and Other Meat Type Chicken Production,11232,0
NAICS 112330,Turkey Production,11233,0
NAICS 112340,Poultry Hatcheries,11234,0
NAICS 112390,Other Poultry Production,11239,0
NAICS 112410,Sheep Farming,11241,0
NAICS 112420,Goat Farming,11242,0
NAICS 112511,Finfish Farming and Fish Hatcheries,11251,1
NAICS 112512,Shellfish Farming,11251,2
NAICS 112519,Other Aquaculture,11251,9
NAICS 112910,Apiculture,11291,0
NAICS 112920,Horses and Other Equine Production,11292,0
NAICS 112930,Fur-Bearing Animal and Rabbit Production,11293,0
NAICS 112990,All Other Animal Production,11299,0
NAICS 113110,Timber Tract Operations,11311,0
NAICS 113210,Forest Nurseries and Gathering of Forest Products,11321,0
NAICS 113310,Logging,11331,0
NAICS 114111,Finfish Fishing,11411,1
NAICS 114112,Shellfish Fishing,11411,2
NAICS 114119,Other Marine Fishing,11411,9
NAICS 114210,Hunting and Trapping,11421,0
NAICS 115111,Cotton Ginning,11511,1
NAICS 115112,"Soil Preparation, Planting, and Cultivating",11511,2
NAICS 115113,"Crop Harvesting, Primarily by Machine",11511,3
NAICS 115114,Postharvest Crop Activities (except Cotton Ginning),11511,4
NAICS 115115,Farm Labor Contractors and Crew Leaders,11511,5
NAICS 115116,Farm Management Services,11511,6
NAICS 115210,Support Activities for Animal Production,11521,0
NAICS 115310,Support Activities for Forestry,11531,0
NAICS 211111,Crude Petroleum and Natural Gas Extraction,21111,1
NAICS 211112,Natural Gas Liquid Extraction,21111,2
NAICS 212111,Bituminous Coal and Lignite Surface Mining,21211,1
NAICS 212112,Bituminous Coal Underground Mining,21211,2
NAICS 212113,Anthracite Mining,21211,3
NAICS 212210,Iron Ore Mining,21221,0
NAICS 212221,Gold Ore Mining,21222,1
NAICS 212222,Silver Ore Mining,21222,2
NAICS 212231,Lead Ore and Zinc Ore Mining,21223,1
NAICS 212234,Copper Ore and Nickel Ore Mining,21223,4
NAICS 212291,Uranium-Radium-Vanadium Ore Mining,21229,1
NAICS 212299,All Other Metal Ore Mining,21229,9
NAICS 212311,Dimension Stone Mining and Quarrying,21231,1
NAICS 212312,Crushed and Broken Limestone Mining and Quarrying,21231,2
NAICS 212313,Crushed and Broken Granite Mining and Quarrying,21231,3
NAICS 212319,Other Crushed and Broken Stone Mining and Quarrying,21231,9
NAICS 212321,Construction Sand and Gravel Mining,21232,1
NAICS 212322,Industrial Sand Mining,21232,2
NAICS 212324,Kaolin and Ball Clay Mining,21232,4
NAICS 212325,Clay and Ceramic and Refractory Minerals Mining,21232,5
NAICS 212391,"Potash, Soda, and Borate Mineral Mining",21239,1
NAICS 212392,Phosphate Rock Mining,21239,2
NAICS 212393,Other Chemical and Fertilizer Mineral Mining,21239,3
NAICS 212399,All Other Nonmetallic Mineral Mining,21239,9
NAICS 213111,Drilling Oil and Gas Wells,21311,1
NAICS 213112,Support Activities for Oil and Gas Operations,21311,2
NAICS 213113,Support Activities for Coal Mining,21311,3
NAICS 213114,Support Activities for Metal Mining,21311,4
NAICS 213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,21311,5
NAICS 221111,Hydroelectric Power Generation,22111,1
NAICS 221112,Fossil Fuel Electric Power Generation,22111,2
NAICS 221113,Nuclear Electric Power Generation,22111,3
NAICS 221114,Solar Electric Power Generation,22111,4
NAICS 221115,Wind Electric Power Generation,22111,5
NAICS 221116,Geothermal Electric Power Generation,22111,6
NAICS 221117,Biomass Electric Power Generation,22111,7
NAICS 221118,Other Electric Power Generation,22111,8
NAICS 221121,Electric Bulk Power Transmission and Control,22112,1
